D:\python3.6\python.exe D:/pyprojects/paddle/paper/BayesianCNN/baye_fc_paddle_raw/main.py
2021-08-21 11:53:32,150 | MNIST32: Prep | Loading datasets...
2021-08-21 11:54:37,549 | MNIST32: Epoch: 5 | Train Loss: 36069.4219 | Train Acc: 0.9905 | Val Loss: 4583.5867 | Val Acc: 0.9745 | train_kl_div: 6734141.8189
2021-08-21 11:54:37,550 | MNIST32: Val Acc ⬆ (0.9733 --> 0.9745).  Saving model ...
196it [00:06, 28.81it/s]
2021-08-21 11:54:47,282 | MNIST32: Epoch: 6 | Train Loss: 35398.0703 | Train Acc: 0.9921 | Val Loss: 4685.2343 | Val Acc: 0.9756 | train_kl_div: 6645616.7117
2021-08-21 11:54:47,282 | MNIST32: Val Acc ⬆ (0.9745 --> 0.9756).  Saving model ...
196it [00:06, 29.24it/s]
2021-08-21 11:54:57,029 | MNIST32: Epoch: 7 | Train Loss: 34836.6133 | Train Acc: 0.9930 | Val Loss: 4995.7068 | Val Acc: 0.9735 | train_kl_div: 6558340.5740
196it [00:06, 29.13it/s]
2021-08-21 11:55:06,551 | MNIST32: Epoch: 8 | Train Loss: 34310.3398 | Train Acc: 0.9934 | Val Loss: 4538.0664 | Val Acc: 0.9753 | train_kl_div: 6472070.7296
196it [00:06, 29.03it/s]
2021-08-21 11:55:16,264 | MNIST32: Epoch: 9 | Train Loss: 33670.9180 | Train Acc: 0.9947 | Val Loss: 4058.1183 | Val Acc: 0.9788 | train_kl_div: 6386819.2602
2021-08-21 11:55:16,264 | MNIST32: Val Acc ⬆ (0.9756 --> 0.9788).  Saving model ...
196it [00:06, 29.05it/s]
2021-08-21 11:55:25,960 | MNIST32: Epoch: 10 | Train Loss: 33078.6953 | Train Acc: 0.9960 | Val Loss: 4225.1447 | Val Acc: 0.9783 | train_kl_div: 6300109.1046
196it [00:06, 28.60it/s]
2021-08-21 11:55:35,744 | MNIST32: Epoch: 11 | Train Loss: 32975.4141 | Train Acc: 0.9930 | Val Loss: 5535.1813 | Val Acc: 0.9702 | train_kl_div: 6214820.9770
196it [00:06, 29.01it/s]
2021-08-21 11:55:45,376 | MNIST32: Epoch: 12 | Train Loss: 32374.0664 | Train Acc: 0.9947 | Val Loss: 4510.2862 | Val Acc: 0.9771 | train_kl_div: 6130694.6862
196it [00:06, 28.85it/s]
2021-08-21 11:55:55,110 | MNIST32: Epoch: 13 | Train Loss: 31931.7734 | Train Acc: 0.9945 | Val Loss: 4584.4798 | Val Acc: 0.9777 | train_kl_div: 6046184.8265
196it [00:06, 28.72it/s]
2021-08-21 11:56:04,757 | MNIST32: Epoch: 14 | Train Loss: 31388.4941 | Train Acc: 0.9953 | Val Loss: 4767.7484 | Val Acc: 0.9763 | train_kl_div: 5960381.4719
196it [00:06, 28.73it/s]
2021-08-21 11:56:14,514 | MNIST32: Epoch: 15 | Train Loss: 30920.8398 | Train Acc: 0.9959 | Val Loss: 4314.8479 | Val Acc: 0.9792 | train_kl_div: 5874769.6556
2021-08-21 11:56:14,514 | MNIST32: Val Acc ⬆ (0.9788 --> 0.9792).  Saving model ...
196it [00:06, 28.61it/s]
2021-08-21 11:56:24,396 | MNIST32: Epoch: 16 | Train Loss: 30413.0586 | Train Acc: 0.9963 | Val Loss: 4841.5301 | Val Acc: 0.9779 | train_kl_div: 5787294.7653
196it [00:06, 29.10it/s]
2021-08-21 11:56:34,083 | MNIST32: Epoch: 17 | Train Loss: 30227.4395 | Train Acc: 0.9943 | Val Loss: 4545.3832 | Val Acc: 0.9788 | train_kl_div: 5702075.1403
196it [00:06, 28.53it/s]
2021-08-21 11:56:43,803 | MNIST32: Epoch: 18 | Train Loss: 29643.4219 | Train Acc: 0.9957 | Val Loss: 5070.5255 | Val Acc: 0.9771 | train_kl_div: 5615668.2704
196it [00:06, 28.52it/s]
2021-08-21 11:56:53,649 | MNIST32: Epoch: 19 | Train Loss: 28976.0762 | Train Acc: 0.9975 | Val Loss: 4762.8665 | Val Acc: 0.9788 | train_kl_div: 5527660.6556
196it [00:06, 28.77it/s]
2021-08-21 11:57:03,312 | MNIST32: Epoch: 20 | Train Loss: 28686.6055 | Train Acc: 0.9960 | Val Loss: 4678.1560 | Val Acc: 0.9801 | train_kl_div: 5439488.8316
2021-08-21 11:57:03,312 | MNIST32: Val Acc ⬆ (0.9792 --> 0.9801).  Saving model ...
Epoch 21: ReduceOnPlateau set learning rate to 0.0008.
196it [00:06, 28.91it/s]
2021-08-21 11:57:13,199 | MNIST32: Epoch: 21 | Train Loss: 27976.6309 | Train Acc: 0.9979 | Val Loss: 4216.5567 | Val Acc: 0.9817 | train_kl_div: 5364011.4592
2021-08-21 11:57:13,199 | MNIST32: Val Acc ⬆ (0.9801 --> 0.9817).  Saving model ...
196it [00:06, 28.48it/s]
2021-08-21 11:57:23,039 | MNIST32: Epoch: 22 | Train Loss: 27419.1895 | Train Acc: 0.9993 | Val Loss: 4508.3417 | Val Acc: 0.9792 | train_kl_div: 5289566.8189
196it [00:06, 28.77it/s]
2021-08-21 11:57:32,820 | MNIST32: Epoch: 23 | Train Loss: 26993.6484 | Train Acc: 0.9995 | Val Loss: 3918.1299 | Val Acc: 0.9818 | train_kl_div: 5212651.9872
2021-08-21 11:57:32,821 | MNIST32: Val Acc ⬆ (0.9817 --> 0.9818).  Saving model ...
196it [00:06, 28.33it/s]
2021-08-21 11:57:42,724 | MNIST32: Epoch: 24 | Train Loss: 26691.7012 | Train Acc: 0.9988 | Val Loss: 4456.2179 | Val Acc: 0.9791 | train_kl_div: 5135292.1786
196it [00:06, 29.05it/s]
2021-08-21 11:57:52,427 | MNIST32: Epoch: 25 | Train Loss: 27095.5820 | Train Acc: 0.9942 | Val Loss: 5413.7162 | Val Acc: 0.9739 | train_kl_div: 5062330.3648
196it [00:06, 29.17it/s]
2021-08-21 11:58:02,023 | MNIST32: Epoch: 26 | Train Loss: 26606.0312 | Train Acc: 0.9943 | Val Loss: 5061.5884 | Val Acc: 0.9773 | train_kl_div: 4994999.5281
196it [00:06, 28.88it/s]
2021-08-21 11:58:11,727 | MNIST32: Epoch: 27 | Train Loss: 25785.1562 | Train Acc: 0.9974 | Val Loss: 4266.1146 | Val Acc: 0.9804 | train_kl_div: 4923082.9770
196it [00:06, 29.03it/s]
2021-08-21 11:58:21,261 | MNIST32: Epoch: 28 | Train Loss: 25340.8008 | Train Acc: 0.9980 | Val Loss: 4483.3439 | Val Acc: 0.9814 | train_kl_div: 4847163.3673
196it [00:06, 29.09it/s]
2021-08-21 11:58:30,939 | MNIST32: Epoch: 29 | Train Loss: 25053.4805 | Train Acc: 0.9975 | Val Loss: 5087.9675 | Val Acc: 0.9789 | train_kl_div: 4772834.1556
196it [00:06, 29.16it/s]
2021-08-21 11:58:40,360 | MNIST32: Epoch: 30 | Train Loss: 24897.1230 | Train Acc: 0.9961 | Val Loss: 4679.8486 | Val Acc: 0.9806 | train_kl_div: 4699857.8980
196it [00:06, 28.55it/s]
2021-08-21 11:58:49,937 | MNIST32: Epoch: 31 | Train Loss: 24379.3770 | Train Acc: 0.9968 | Val Loss: 4952.0340 | Val Acc: 0.9800 | train_kl_div: 4629257.7347
196it [00:06, 28.65it/s]
2021-08-21 11:58:59,411 | MNIST32: Epoch: 32 | Train Loss: 24000.2910 | Train Acc: 0.9970 | Val Loss: 4162.3321 | Val Acc: 0.9809 | train_kl_div: 4554600.9796
196it [00:06, 28.57it/s]
2021-08-21 11:59:08,921 | MNIST32: Epoch: 33 | Train Loss: 23440.3906 | Train Acc: 0.9982 | Val Loss: 3978.6808 | Val Acc: 0.9842 | train_kl_div: 4480204.3061
2021-08-21 11:59:08,922 | MNIST32: Val Acc ⬆ (0.9818 --> 0.9842).  Saving model ...
196it [00:06, 28.27it/s]
2021-08-21 11:59:18,655 | MNIST32: Epoch: 34 | Train Loss: 23411.1523 | Train Acc: 0.9960 | Val Loss: 4545.1108 | Val Acc: 0.9810 | train_kl_div: 4405543.9515
0it [00:00, ?it/s]Epoch 35: ReduceOnPlateau set learning rate to 0.00064.
196it [00:06, 28.66it/s]
2021-08-21 11:59:28,233 | MNIST32: Epoch: 35 | Train Loss: 22552.9316 | Train Acc: 0.9993 | Val Loss: 4227.9269 | Val Acc: 0.9840 | train_kl_div: 4343043.4031
196it [00:06, 28.27it/s]
2021-08-21 11:59:37,945 | MNIST32: Epoch: 36 | Train Loss: 22127.2559 | Train Acc: 0.9998 | Val Loss: 3797.5402 | Val Acc: 0.9852 | train_kl_div: 4277824.1939
2021-08-21 11:59:37,945 | MNIST32: Val Acc ⬆ (0.9842 --> 0.9852).  Saving model ...
196it [00:06, 28.49it/s]
2021-08-21 11:59:47,700 | MNIST32: Epoch: 37 | Train Loss: 21792.6855 | Train Acc: 0.9997 | Val Loss: 3948.8713 | Val Acc: 0.9831 | train_kl_div: 4210963.0816
196it [00:06, 28.21it/s]
2021-08-21 11:59:57,291 | MNIST32: Epoch: 38 | Train Loss: 21442.7988 | Train Acc: 0.9997 | Val Loss: 3764.8967 | Val Acc: 0.9859 | train_kl_div: 4143022.9286
2021-08-21 11:59:57,291 | MNIST32: Val Acc ⬆ (0.9852 --> 0.9859).  Saving model ...
196it [00:06, 28.45it/s]
2021-08-21 12:00:07,063 | MNIST32: Epoch: 39 | Train Loss: 21141.9199 | Train Acc: 0.9996 | Val Loss: 4073.0129 | Val Acc: 0.9819 | train_kl_div: 4074580.6684
196it [00:06, 28.65it/s]
2021-08-21 12:00:16,613 | MNIST32: Epoch: 40 | Train Loss: 21602.1348 | Train Acc: 0.9947 | Val Loss: 4831.0265 | Val Acc: 0.9787 | train_kl_div: 4014816.8214
196it [00:06, 28.81it/s]
2021-08-21 12:00:26,110 | MNIST32: Epoch: 41 | Train Loss: 20883.2891 | Train Acc: 0.9971 | Val Loss: 3926.5453 | Val Acc: 0.9830 | train_kl_div: 3962138.2079
196it [00:06, 28.28it/s]
2021-08-21 12:00:35,743 | MNIST32: Epoch: 42 | Train Loss: 20427.8027 | Train Acc: 0.9979 | Val Loss: 4118.7796 | Val Acc: 0.9808 | train_kl_div: 3901115.0128
196it [00:06, 28.44it/s]
2021-08-21 12:00:45,353 | MNIST32: Epoch: 43 | Train Loss: 19927.6680 | Train Acc: 0.9995 | Val Loss: 3671.3765 | Val Acc: 0.9833 | train_kl_div: 3837412.2921
196it [00:06, 28.24it/s]
2021-08-21 12:00:54,995 | MNIST32: Epoch: 44 | Train Loss: 19572.0977 | Train Acc: 0.9997 | Val Loss: 4294.2304 | Val Acc: 0.9836 | train_kl_div: 3771216.4605
196it [00:06, 28.75it/s]
2021-08-21 12:01:04,453 | MNIST32: Epoch: 45 | Train Loss: 19332.1777 | Train Acc: 0.9990 | Val Loss: 4121.7939 | Val Acc: 0.9844 | train_kl_div: 3706080.2768
196it [00:06, 28.64it/s]
2021-08-21 12:01:13,946 | MNIST32: Epoch: 46 | Train Loss: 19668.6934 | Train Acc: 0.9946 | Val Loss: 3978.4785 | Val Acc: 0.9813 | train_kl_div: 3650727.2372
196it [00:06, 28.86it/s]
2021-08-21 12:01:23,413 | MNIST32: Epoch: 47 | Train Loss: 18876.8281 | Train Acc: 0.9982 | Val Loss: 3904.1138 | Val Acc: 0.9827 | train_kl_div: 3596537.8954
196it [00:06, 28.67it/s]
2021-08-21 12:01:32,909 | MNIST32: Epoch: 48 | Train Loss: 18450.3242 | Train Acc: 0.9989 | Val Loss: 4135.2452 | Val Acc: 0.9815 | train_kl_div: 3535046.8023
196it [00:06, 28.96it/s]
2021-08-21 12:01:42,350 | MNIST32: Epoch: 49 | Train Loss: 18210.0566 | Train Acc: 0.9987 | Val Loss: 3905.8828 | Val Acc: 0.9827 | train_kl_div: 3474437.0497
196it [00:06, 28.43it/s]
2021-08-21 12:01:52,126 | MNIST32: Epoch: 50 | Train Loss: 17823.0527 | Train Acc: 0.9991 | Val Loss: 4304.7685 | Val Acc: 0.9830 | train_kl_div: 3414087.9043
196it [00:07, 27.08it/s]
2021-08-21 12:02:02,497 | MNIST32: Epoch: 51 | Train Loss: 17736.6172 | Train Acc: 0.9979 | Val Loss: 4798.2176 | Val Acc: 0.9793 | train_kl_div: 3355922.8431
196it [00:07, 27.60it/s]
2021-08-21 12:02:12,285 | MNIST32: Epoch: 52 | Train Loss: 17370.6816 | Train Acc: 0.9980 | Val Loss: 4245.9988 | Val Acc: 0.9837 | train_kl_div: 3299461.8112
196it [00:06, 28.77it/s]
2021-08-21 12:02:21,750 | MNIST32: Epoch: 53 | Train Loss: 17054.9141 | Train Acc: 0.9980 | Val Loss: 3548.8833 | Val Acc: 0.9849 | train_kl_div: 3243888.5791
196it [00:06, 28.68it/s]
2021-08-21 12:02:31,219 | MNIST32: Epoch: 54 | Train Loss: 16679.3574 | Train Acc: 0.9990 | Val Loss: 3939.4213 | Val Acc: 0.9850 | train_kl_div: 3184811.6735
196it [00:06, 28.86it/s]
2021-08-21 12:02:40,681 | MNIST32: Epoch: 55 | Train Loss: 16434.6152 | Train Acc: 0.9983 | Val Loss: 4362.4028 | Val Acc: 0.9829 | train_kl_div: 3127367.7321
196it [00:06, 28.72it/s]
2021-08-21 12:02:50,156 | MNIST32: Epoch: 56 | Train Loss: 16407.0801 | Train Acc: 0.9965 | Val Loss: 4269.3131 | Val Acc: 0.9823 | train_kl_div: 3075508.4974
196it [00:06, 28.55it/s]
2021-08-21 12:02:59,706 | MNIST32: Epoch: 57 | Train Loss: 15942.1680 | Train Acc: 0.9980 | Val Loss: 3828.5681 | Val Acc: 0.9832 | train_kl_div: 3022547.1224
196it [00:07, 27.96it/s]
2021-08-21 12:03:09,351 | MNIST32: Epoch: 58 | Train Loss: 15487.8994 | Train Acc: 0.9993 | Val Loss: 3891.4320 | Val Acc: 0.9830 | train_kl_div: 2966087.4911
196it [00:06, 28.47it/s]
2021-08-21 12:03:18,886 | MNIST32: Epoch: 59 | Train Loss: 15153.9697 | Train Acc: 0.9995 | Val Loss: 4079.4890 | Val Acc: 0.9833 | train_kl_div: 2907841.2474
196it [00:07, 27.98it/s]
2021-08-21 12:03:28,712 | MNIST32: Epoch: 60 | Train Loss: 14997.2041 | Train Acc: 0.9985 | Val Loss: 4335.6004 | Val Acc: 0.9811 | train_kl_div: 2851659.5548
196it [00:06, 28.64it/s]
2021-08-21 12:03:38,241 | MNIST32: Epoch: 61 | Train Loss: 14773.5117 | Train Acc: 0.9982 | Val Loss: 4426.8316 | Val Acc: 0.9823 | train_kl_div: 2798268.0013
196it [00:07, 27.88it/s]
2021-08-21 12:03:47,983 | MNIST32: Epoch: 62 | Train Loss: 14593.8633 | Train Acc: 0.9976 | Val Loss: 6127.9360 | Val Acc: 0.9748 | train_kl_div: 2748262.1276
196it [00:06, 28.22it/s]
2021-08-21 12:03:57,627 | MNIST32: Epoch: 63 | Train Loss: 14241.2627 | Train Acc: 0.9983 | Val Loss: 4112.1693 | Val Acc: 0.9804 | train_kl_div: 2698371.2028
196it [00:06, 28.25it/s]
2021-08-21 12:04:07,211 | MNIST32: Epoch: 64 | Train Loss: 14063.5654 | Train Acc: 0.9978 | Val Loss: 3808.4835 | Val Acc: 0.9831 | train_kl_div: 2647146.0191
0it [00:00, ?it/s]Epoch 65: ReduceOnPlateau set learning rate to 0.0005120000000000001.
196it [00:06, 28.28it/s]
2021-08-21 12:04:16,850 | MNIST32: Epoch: 65 | Train Loss: 13551.3301 | Train Acc: 0.9995 | Val Loss: 3592.1542 | Val Acc: 0.9840 | train_kl_div: 2605090.1849
196it [00:06, 28.21it/s]
2021-08-21 12:04:26,511 | MNIST32: Epoch: 66 | Train Loss: 13256.5596 | Train Acc: 1.0000 | Val Loss: 3639.1903 | Val Acc: 0.9845 | train_kl_div: 2559408.2117
196it [00:07, 27.96it/s]
2021-08-21 12:04:36,209 | MNIST32: Epoch: 67 | Train Loss: 13014.7568 | Train Acc: 1.0000 | Val Loss: 3509.8924 | Val Acc: 0.9866 | train_kl_div: 2513134.8214
2021-08-21 12:04:36,210 | MNIST32: Val Acc ⬆ (0.9859 --> 0.9866).  Saving model ...
196it [00:06, 28.38it/s]
2021-08-21 12:04:45,938 | MNIST32: Epoch: 68 | Train Loss: 12801.1426 | Train Acc: 0.9999 | Val Loss: 3782.1801 | Val Acc: 0.9850 | train_kl_div: 2466868.6888
196it [00:06, 28.12it/s]
2021-08-21 12:04:55,540 | MNIST32: Epoch: 69 | Train Loss: 12622.0049 | Train Acc: 0.9995 | Val Loss: 3698.8799 | Val Acc: 0.9833 | train_kl_div: 2422719.9247
196it [00:06, 28.02it/s]
2021-08-21 12:05:05,213 | MNIST32: Epoch: 70 | Train Loss: 12542.8447 | Train Acc: 0.9986 | Val Loss: 4307.8761 | Val Acc: 0.9820 | train_kl_div: 2381531.7105
196it [00:06, 28.06it/s]
2021-08-21 12:05:14,852 | MNIST32: Epoch: 71 | Train Loss: 12483.2090 | Train Acc: 0.9977 | Val Loss: 3738.7260 | Val Acc: 0.9823 | train_kl_div: 2345659.6301
196it [00:06, 28.14it/s]
2021-08-21 12:05:24,590 | MNIST32: Epoch: 72 | Train Loss: 12039.7627 | Train Acc: 0.9995 | Val Loss: 4204.8729 | Val Acc: 0.9830 | train_kl_div: 2306273.8941
196it [00:06, 28.33it/s]
2021-08-21 12:05:34,253 | MNIST32: Epoch: 73 | Train Loss: 11822.6426 | Train Acc: 0.9995 | Val Loss: 4126.0755 | Val Acc: 0.9834 | train_kl_div: 2265106.8342
196it [00:06, 28.58it/s]
2021-08-21 12:05:43,771 | MNIST32: Epoch: 74 | Train Loss: 11720.0195 | Train Acc: 0.9986 | Val Loss: 3742.5519 | Val Acc: 0.9836 | train_kl_div: 2225449.6556
196it [00:06, 28.72it/s]
2021-08-21 12:05:53,249 | MNIST32: Epoch: 75 | Train Loss: 11600.8516 | Train Acc: 0.9984 | Val Loss: 4295.1776 | Val Acc: 0.9815 | train_kl_div: 2188495.5446
196it [00:06, 28.73it/s]
2021-08-21 12:06:02,761 | MNIST32: Epoch: 76 | Train Loss: 11316.2109 | Train Acc: 0.9990 | Val Loss: 4065.9595 | Val Acc: 0.9817 | train_kl_div: 2151407.0408
196it [00:06, 28.78it/s]
2021-08-21 12:06:12,229 | MNIST32: Epoch: 77 | Train Loss: 11133.1074 | Train Acc: 0.9987 | Val Loss: 3995.9550 | Val Acc: 0.9832 | train_kl_div: 2113509.5880
196it [00:06, 28.10it/s]
2021-08-21 12:06:21,904 | MNIST32: Epoch: 78 | Train Loss: 10847.3584 | Train Acc: 0.9994 | Val Loss: 3702.6457 | Val Acc: 0.9827 | train_kl_div: 2075749.4777
0it [00:00, ?it/s]Epoch 79: ReduceOnPlateau set learning rate to 0.0004096000000000001.
196it [00:06, 28.41it/s]
2021-08-21 12:06:31,456 | MNIST32: Epoch: 79 | Train Loss: 10567.8496 | Train Acc: 1.0000 | Val Loss: 3558.1619 | Val Acc: 0.9855 | train_kl_div: 2041419.6473
196it [00:06, 28.24it/s]
2021-08-21 12:06:41,075 | MNIST32: Epoch: 80 | Train Loss: 10393.7705 | Train Acc: 0.9999 | Val Loss: 3585.4030 | Val Acc: 0.9857 | train_kl_div: 2008180.4821
196it [00:06, 28.27it/s]
2021-08-21 12:06:50,685 | MNIST32: Epoch: 81 | Train Loss: 10218.2500 | Train Acc: 1.0000 | Val Loss: 3763.8887 | Val Acc: 0.9847 | train_kl_div: 1974754.7736
196it [00:06, 28.04it/s]
2021-08-21 12:07:00,359 | MNIST32: Epoch: 82 | Train Loss: 10075.9795 | Train Acc: 0.9998 | Val Loss: 3474.9069 | Val Acc: 0.9843 | train_kl_div: 1941465.2015
196it [00:07, 27.88it/s]
2021-08-21 12:07:10,027 | MNIST32: Epoch: 83 | Train Loss: 9889.2705 | Train Acc: 1.0000 | Val Loss: 3775.4402 | Val Acc: 0.9855 | train_kl_div: 1909136.5134
196it [00:06, 28.43it/s]
2021-08-21 12:07:19,561 | MNIST32: Epoch: 84 | Train Loss: 9993.6504 | Train Acc: 0.9981 | Val Loss: 4661.1207 | Val Acc: 0.9804 | train_kl_div: 1880326.5357
196it [00:06, 28.55it/s]
2021-08-21 12:07:29,082 | MNIST32: Epoch: 85 | Train Loss: 9771.5645 | Train Acc: 0.9989 | Val Loss: 3582.3870 | Val Acc: 0.9848 | train_kl_div: 1855393.8406
196it [00:06, 28.01it/s]
2021-08-21 12:07:38,755 | MNIST32: Epoch: 86 | Train Loss: 9527.8770 | Train Acc: 0.9995 | Val Loss: 3778.1104 | Val Acc: 0.9814 | train_kl_div: 1826369.6620
196it [00:06, 28.61it/s]
2021-08-21 12:07:48,252 | MNIST32: Epoch: 87 | Train Loss: 9410.0371 | Train Acc: 0.9992 | Val Loss: 4131.8465 | Val Acc: 0.9811 | train_kl_div: 1797638.9643
196it [00:06, 28.26it/s]
2021-08-21 12:07:57,844 | MNIST32: Epoch: 88 | Train Loss: 9360.9912 | Train Acc: 0.9986 | Val Loss: 4168.9193 | Val Acc: 0.9809 | train_kl_div: 1770887.9388
196it [00:06, 28.02it/s]
2021-08-21 12:08:07,515 | MNIST32: Epoch: 89 | Train Loss: 9094.3721 | Train Acc: 0.9996 | Val Loss: 3700.8432 | Val Acc: 0.9835 | train_kl_div: 1744247.3323
196it [00:06, 28.53it/s]
2021-08-21 12:08:17,070 | MNIST32: Epoch: 90 | Train Loss: 8929.0137 | Train Acc: 0.9997 | Val Loss: 3939.7534 | Val Acc: 0.9835 | train_kl_div: 1715098.1881
196it [00:06, 28.04it/s]
2021-08-21 12:08:26,725 | MNIST32: Epoch: 91 | Train Loss: 8895.7949 | Train Acc: 0.9990 | Val Loss: 4256.7256 | Val Acc: 0.9819 | train_kl_div: 1687801.3163
196it [00:06, 28.44it/s]
2021-08-21 12:08:36,302 | MNIST32: Epoch: 92 | Train Loss: 8698.4609 | Train Acc: 0.9993 | Val Loss: 3968.4620 | Val Acc: 0.9804 | train_kl_div: 1662240.3820
196it [00:06, 28.34it/s]
Epoch 94: ReduceOnPlateau set learning rate to 0.0003276800000000001.
2021-08-21 12:08:45,900 | MNIST32: Epoch: 93 | Train Loss: 8575.6348 | Train Acc: 0.9992 | Val Loss: 4056.6145 | Val Acc: 0.9823 | train_kl_div: 1634774.3297
196it [00:06, 28.36it/s]
2021-08-21 12:08:55,486 | MNIST32: Epoch: 94 | Train Loss: 8392.3096 | Train Acc: 0.9996 | Val Loss: 3511.9727 | Val Acc: 0.9855 | train_kl_div: 1612312.3138
196it [00:07, 27.89it/s]
2021-08-21 12:09:05,175 | MNIST32: Epoch: 95 | Train Loss: 8236.0771 | Train Acc: 0.9999 | Val Loss: 3630.8346 | Val Acc: 0.9840 | train_kl_div: 1589696.9841
196it [00:06, 28.39it/s]
2021-08-21 12:09:14,737 | MNIST32: Epoch: 96 | Train Loss: 8142.7104 | Train Acc: 0.9997 | Val Loss: 3457.4497 | Val Acc: 0.9851 | train_kl_div: 1566699.6307
196it [00:06, 28.23it/s]
2021-08-21 12:09:24,367 | MNIST32: Epoch: 97 | Train Loss: 8000.9380 | Train Acc: 0.9999 | Val Loss: 3493.5310 | Val Acc: 0.9864 | train_kl_div: 1544338.8138
196it [00:06, 28.61it/s]
2021-08-21 12:09:33,914 | MNIST32: Epoch: 98 | Train Loss: 7903.3481 | Train Acc: 0.9998 | Val Loss: 3966.9811 | Val Acc: 0.9844 | train_kl_div: 1521450.7870
196it [00:06, 28.72it/s]
2021-08-21 12:09:43,459 | MNIST32: Epoch: 99 | Train Loss: 7979.3730 | Train Acc: 0.9986 | Val Loss: 4024.9262 | Val Acc: 0.9801 | train_kl_div: 1503869.9911
196it [00:06, 28.54it/s]
2021-08-21 12:09:53,001 | MNIST32: Epoch: 100 | Train Loss: 7709.0723 | Train Acc: 0.9998 | Val Loss: 3462.7422 | Val Acc: 0.9861 | train_kl_div: 1483781.9962
196it [00:06, 28.59it/s]
2021-08-21 12:10:02,758 | MNIST32: Epoch: 101 | Train Loss: 7594.4111 | Train Acc: 0.9997 | Val Loss: 3486.2046 | Val Acc: 0.9845 | train_kl_div: 1461742.9879
196it [00:06, 28.62it/s]
2021-08-21 12:10:12,277 | MNIST32: Epoch: 102 | Train Loss: 7546.3145 | Train Acc: 0.9992 | Val Loss: 3518.5830 | Val Acc: 0.9851 | train_kl_div: 1441364.6920
196it [00:06, 28.67it/s]
2021-08-21 12:10:21,794 | MNIST32: Epoch: 103 | Train Loss: 7388.8091 | Train Acc: 0.9998 | Val Loss: 3518.8542 | Val Acc: 0.9851 | train_kl_div: 1421072.5032
196it [00:06, 28.51it/s]
2021-08-21 12:10:31,314 | MNIST32: Epoch: 104 | Train Loss: 7265.9819 | Train Acc: 0.9999 | Val Loss: 3554.2699 | Val Acc: 0.9834 | train_kl_div: 1399534.4879
196it [00:06, 28.38it/s]
2021-08-21 12:10:40,880 | MNIST32: Epoch: 105 | Train Loss: 7208.3545 | Train Acc: 0.9996 | Val Loss: 3871.1718 | Val Acc: 0.9836 | train_kl_div: 1379017.4605
196it [00:06, 28.45it/s]
2021-08-21 12:10:50,417 | MNIST32: Epoch: 106 | Train Loss: 7180.8672 | Train Acc: 0.9990 | Val Loss: 3887.9608 | Val Acc: 0.9821 | train_kl_div: 1361145.4726
196it [00:06, 28.21it/s]
